Facility, District,Hub
"Abim Hospital","Abim","Abim Hub"
"Alerek H/C III","Abim","Abim Hub"
"Orwamuge H/C III","Abim","Abim Hub"
"Nyakwae H/C III","Abim","Abim Hub"
"Morulem H/C III","Abim","Abim Hub"
"Awach H/C II (Abim)","Abim","Abim Hub"
"Kanu H/C II","Abim","Abim Hub"
"Wilela H/C III","Abim","Abim Hub"
"Opopongo H/C III","Abim","Abim Hub"
"Kataboke H/C III","Abim","Abim Hub"
"Atunga H/C III","Abim","Abim Hub"
"Kiru H/C II","Abim","Abim Hub"
"Adjumani Hospital","Adjumani","Adjumani Hub"
"Maaji A H/C II","Adjumani","Adjumani Hub"
"Ukusijoni H/C III","Adjumani","Adjumani Hub"
"Ofua HC III","Adjumani","Adjumani Hub"
"Robidire H/C III","Adjumani","Adjumani Hub"
"Openzinzi H/C III","Adjumani","Adjumani Hub"
"Adjumani Mission H/C III","Adjumani","Adjumani Hub"
"Ciforo H/C III","Adjumani","Adjumani Hub"
"Dzaipi H/C III","Adjumani","Adjumani Hub"
"Biira HC III(NGO)","Adjumani","Adjumani Hub"
"Pakele H/C III","Adjumani","Adjumani Hub"
"Mary Land H/C III","Adjumani","Adjumani Hub"
"Mungula H/C IV","Adjumani","Adjumani Hub"
"Elema H/C II","Adjumani","Adjumani Hub"
"Nyumanzi H/C III","Adjumani","Adjumani Hub"
"Ayilo H/C III","Adjumani","Adjumani Hub"
"Pagirinya H/C III","Adjumani","Adjumani Hub"
"Ayiri H/C III","Adjumani","Adjumani Hub"
"Arinyapi H/C III","Adjumani","Adjumani Hub"
"Achol Pii H/C III","Agago","Kalongo Hub"
"Kalongo Hospital","Agago","Kalongo Hub"
"Lira Kato H/C III (Agago)","Agago","Kalongo Hub"
"Lira Palwo H/C III","Agago","Kalongo Hub"
"Lukole H/C III","Agago","Kalongo Hub"
"Paimol H/C III","Agago","Kalongo Hub"
"Patongo H/C III","Agago","Kalongo Hub"
"Wol H/C III","Agago","Kalongo Hub"
"Adilang H/C III","Agago","Kalongo Hub"
"Menya Santo H/C","Agago","Kalongo Hub"
"Pakor H/C II","Agago","Kalongo Hub"
"Alop H/C II","Agago","Kalongo Hub"
"Lamiyo H/C II","Agago","Kalongo Hub"
"Dr Ambrosolic Memorial Hospital","Agago","Kalongo Hub"
"Abako H/C III","Alebtong","Alebtong Hub"
"Alebtong H/C IV","Alebtong","Alebtong Hub"
"Amugu H/C III","Alebtong","Alebtong Hub"
"Apala H/C III","Alebtong","Alebtong Hub"
"Omoro H/C III","Alebtong","Alebtong Hub"
"Aloi Mission H/C III","Alebtong","Alebtong Hub"
"Alanyi H/C III","Alebtong","Alebtong Hub"
"Abia H/C II","Alebtong","Alebtong Hub"
"Ateno H/C II","Alebtong","Alebtong Hub"
"Akura H/C II","Alebtong","Alebtong Hub"
"Obim H/C II","Alebtong","Alebtong Hub"
"Ochogo H/C III","Alebtong","Alebtong Hub"
"Abaro H/C III","Alebtong","Alebtong Hub"
"Olum H/C IV","Alebtong","Alebtong Hub"
"Amai Community Hospital","Amolatar","Amolatar Hub"
"Amolatar H/C IV","Amolatar","Amolatar Hub"
"Aputi H/C III","Amolatar","Amolatar Hub"
"Etam H/C III","Amolatar","Amolatar Hub"
"Namasale H/C III","Amolatar","Amolatar Hub"
"Amudat Hospital","Amudat","Tokora Hub"
"Karita H/C III (Amudat)","Amudat","Tokora Hub"
"Loroo H/C III","Amudat","Tokora Hub"
"Lokales H/C II","Amudat","Tokora Hub"
"Cheptapoyo H/C II","Amudat","Tokora Hub"
"Abarilela H/C III","Amuria","Amuria Hub"
"Morungatuny H/C III","Amuria","Amuria Hub"
"St Clare Orungo H/C III","Amuria","Amuria Hub"
"Ongutoi Health Center","Amuria","Amuria Hub"
"Wera H/C III","Amuria","Amuria Hub"
"St Micheal HCF H/C III (Amuria)","Amuria","Amuria Hub"
"Amusus H/C III","Amuria","Amuria Hub"
"Asamuk H/C III","Amuria","Amuria Hub"
"Amucu H/C III","Amuria","Amuria Hub"
"Amuria General Hospital","Amuria","Amuria Hub"
"Orungo H/C III","Amuria","Amuria Hub"
"Alere H/C II","Amuria","Amuria Hub"
"Pogo H/C III","Amuria","Atiak Hub"
"Atiak H/C IV","Amuru","Atiak Hub"
"Bibia H/C III","Amuru","Atiak Hub"
"Kaladima H/C III","Amuru","Atiak Hub"
"Pabbo H/C III (Amuru Govt)","Amuru","Atiak Hub"
"Pawel H/C II","Amuru","Atiak Hub"
"Olwal H/C III","Amuru","Atiak Hub"
"Labongogali H/C III","Amuru","Atiak Hub"
"Lacor H/C III (Amuru)","Amuru","Atiak Hub"
"Otwee H/C III","Amuru","Atiak Hub"
"Lacor H/C III (Pabbo)","Amuru","Atiak Hub"
"Parabongo H/C II","Amuru","Atiak Hub"
"Guruguru H/C II","Amuru","Atiak Hub"
"Oberabic H/C II","Amuru","Atiak Hub"
"Aduku H/C II (NGO)","Apac","Aber Hub"
"Akokoro H/C III","Apac","Apac Hub"
"Apac Hospital","Apac","Apac Hub"
"Apoi H/C III","Apac","Apac Hub"
"Ibuje H/C III","Apac","Apac Hub"
"Teboke H/C III","Apac","Apac Hub"
"Alenga H/C III","Apac","Apac Hub"
"Apire H/C II","Apac","Apac Hub"
"Arua R R Hospital","Arua","Arua Hub"
"Ogoko H/C II","Arua","Rhino Camp Hub"
"Arua Police H/C III","Arua","Arua Hub"
"Kuluva Hospital","Arua","Arua Hub"
"St Assumpta H/C III","Arua","Arua Hub"
"Omugo H/C IV","Arua","Arua Hub"
"St Luke H/C III Katiyi","Arua","Arua Hub"
"Siripi H/C III","Arua","Rhino Camp Hub"
"Odupi H/C III","Arua","Arua Hub"
"Oriajin Hospital","Arua","Arua Hub"
"Bondo H/C III","Arua","Arua Hub"
"Rhino Camp H/C IV","Arua","Rhino Camp Hub"
"Orivu H/C III","Arua","Arua Hub"
"Oli H/C IV","Arua","Arua Hub"
"Aripea H/C III","Arua","Arua Hub"
"Yinga H/C III","Arua","Arua Hub"
"Logiri H/C III","Arua","Arua Hub"
"Olujobo H/C III","Arua","Rhino Camp Hub"
"Bileafe H/C III","Arua","Arua Hub"
"Offaka H/C III","Arua","Arua Hub"
"Inde H/C III","Arua","Rhino Camp Hub"
"Adumi H/C IV 	","Arua","Arua Hub"
"Ediofe H/C III","Arua","Arua Hub"
"Vurra H/C III","Arua","Arua Hub"
"Wandi H/C III","Arua","Arua Hub"
"Cilio H/C III","Arua","Arua Hub"
"Pajulu H/C III (Arua)","Arua","Arua Hub"
"Ombidri Ondrea H/C III","Arua","Arua Hub"
"Riki H/C III","Arua","Arua Hub"
"Pawor H/C III","Arua","Rhino Camp Hub"
"Aroi H/C III","Arua","Arua Hub"
"Ayivuni H/C III","Arua","Arua Hub"
"Okollo H/C III","Arua","Arua Hub"
"Ocea H/C II","Arua","Rhino Camp Hub"
"Olivu H/C III","Arua","Rhino Camp Hub"
"Odoubu H/C III","Arua","Arua Hub"
"Imvepi H/C III","Arua","Rhino Camp Hub"
"Odraka H/C II","Arua","Rhino Camp Hub"
"Anyiribu H/C III","Arua","Arua Hub"
"St Francis H/C III Ocodri","Arua","Arua Hub"
"Otumbari H/C III","Arua","Arua Hub"
