"1","1c = AZT-3TC-NVP","1","1","2014-07-01 17:05:03","samuel@trailanalytics.com"
"2","1d = AZT-3TC-EFV","2","1","2014-07-01 17:05:09","samuel@trailanalytics.com"
"3","1e = TDF-3TC-NVP","3","1","2014-07-01 17:05:13","samuel@trailanalytics.com"
"4","1f = TDF-3TC-EFV","4","1","2014-07-01 17:05:16","samuel@trailanalytics.com"
"5","1g = TDF-FTC-NVP","5","1","2014-07-01 17:05:20","samuel@trailanalytics.com"
"6","1h = TDF-FTC-EFV","6","1","2014-07-01 17:05:24","samuel@trailanalytics.com"
"7","1i = ABC-3TC-EFV","7","1","2014-07-01 17:05:27","samuel@trailanalytics.com"
"8","1j = ABC-3TC-NVP","8","1","2014-07-01 17:05:30","samuel@trailanalytics.com"
"11","2b = TDF-3TC-LPV/r","9","2","2014-07-01 17:06:28","samuel@trailanalytics.com"
"12","2c = TDF-FTC-LPV/r","10","2","2014-07-01 17:06:33","samuel@trailanalytics.com"
"13","2e = AZT-3TC-LPV/r","11","2","2014-07-01 17:06:37","samuel@trailanalytics.com"
"14","2f = TDF-FTC-ATV/r","12","2","2014-07-01 17:06:40","samuel@trailanalytics.com"
"15","2g = TDF-3TC-ATV/r","13","2","2014-07-01 17:06:44","samuel@trailanalytics.com"
"16","2h = AZT-3TC-ATV/r","14","2","2014-07-01 17:06:47","samuel@trailanalytics.com"
"17","2i = ABC-3TC-LPV/r","15","2","2014-07-01 17:06:51","samuel@trailanalytics.com"
"18","2j = ABC-3TC-ATV/r","16","2","2014-07-01 17:06:54","samuel@trailanalytics.com"
"19","4a = d4T-3TC-NVP","17","1","2014-07-01 17:06:57","samuel@trailanalytics.com"
"20","4b = d4T-3TC-EFV","18","1","2014-07-01 17:07:01","samuel@trailanalytics.com"
"21","4c = AZT-3TC-NVP","19","1","2014-07-01 17:07:05","samuel@trailanalytics.com"
"22","4d = AZT-3TC-EFV","20","1","2014-07-01 17:07:09","samuel@trailanalytics.com"
"23","4e = ABC-3TC-NVP","21","1","2014-07-01 17:07:12","samuel@trailanalytics.com"
"24","4f = ABC-3TC-EFV","22","1","2014-07-01 17:07:15","samuel@trailanalytics.com"
"25","5d = TDF-3TC-LPV/r","23","2","2014-07-01 17:07:19","samuel@trailanalytics.com"
"26","5e = TDF-FTC-LPV/r","24","2","2014-07-01 17:07:22","samuel@trailanalytics.com"
"27","5g = AZT-ABC-LPV/r","25","2","2014-07-01 17:07:25","samuel@trailanalytics.com"
"28","5i = AZT-3TC-ATV/r","26","2","2014-07-01 17:07:29","samuel@trailanalytics.com"
"29","5j = ABC-3TC-LPV/r","27","2","2014-07-01 17:07:33","samuel@trailanalytics.com"
"30","5k = ABC-3TC-ATV/r","28","2","2014-07-01 17:07:36","samuel@trailanalytics.com"
"31","Left Blank","29","4","2014-07-05 20:04:42","samuel@trailanalytics.com"
"71","Other Regimen","68","5","2015-12-06 19:08:22","admin: samuel@trailanalytics.com"
