"2","Abako H/C III","102","116","7","0772312515",,"Ojok Isaac",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"3","Aber Hospital","77","3","7","0782117574",,"Ato Benard",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"4","Abim Hospital","1","4","22","0772896592",,"Okubal Samuel",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"5","Aboke H/C IV","104","3","7","0779203475",,"ejang flavia",,"P.O.Box 419 Kole","1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"6","Abongomola H/C III","6","3","7","0772868854",,"Omara Tobas",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"8","Achol Pii H/C III","101","89","7","0774253869",,"Ssemujju Julius",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"9","Acholi Bur H/C III","78","118","7","0785966429",,"Okello Godfrey",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"10","Adjumani Hospital","2","5","1","0772918562",,"AMOJU EMMANUEL",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"11","Adok H/C II","22","71","7","0752418166",,"Okwang",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"12","Aduku H/C II (NGO)","6","3","7",,NULL,"Ocha Jimmy",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"13","Aduku H/C IV","6","109","7","0782972445",,"Okello A",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"14","Agali H/C III","54","36","7","0772991888",,"molly awor",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"15","Agoro H/C III","53","75","7","0711068465",,"OPIRA CHURCHILL",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"18","Agulurude H/C III","77","3","7","0777583284",,"Apollo Semmy",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"19","Agwata H/C III","22","71","7","0774993910",,"Oluk Norman",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"20","Akalo H/C III","104","36","7","0753761001",,"OLIDO GEOFFREY",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"21","Akokoro H/C III","6","109","7","0773577763",,"OWINY JIMMY",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"22","Akuna Laber H/C III","47","117","7","0774849340",,"Ojok William",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"23","Alebtong H/C IV","102","116","7","0775306235",,"Angoo Richard",,,"1","2014-07-14 11:37:13","samuel@trailanalytics.com"
"24","Alerek H/C III","1","4","16","0775287200",,"Okello Emmanuel",,,"1","2014-07-14 11:37:48","samuel@trailanalytics.com"
